STAID,STANAME,DRAIN_SQKM,LAT_GAGE,LNG_GAGE,COMID,COMID_DRAIN_SQKM,COMID_UNITAREA_SQKM,ABS_DIFF,DA_VALID,FLOW_SCALE,REL_DIFF,COV_TRAIN,COV_EVAL
01208500,"NAUGATUCK RIVER AT BEACON FALLS, CT.",674.4304,41.442319,-73.062608,73003429,702.1190076575523,41.6376756260774,27.688607657552325,True,0.3350107266743984,0.041054803664770045,1.0,1.0
01305000,CARMANS RIVER AT YAPHANK NY,190.2237,40.830376,-72.906215,73005597,209.08788901850969,37.92027461127682,18.86418901850968,True,0.5025302635097532,0.09916844756205288,1.0,1.0
01315000,INDIAN RIVER NEAR INDIAN LAKE NY,337.5252,43.756453,-74.267093,73002031,342.33182765897817,102.62336045786014,4.806627658978186,True,0.9531624414019076,0.014240796417506562,1.0,1.0
01318500,HUDSON RIVER AT HADLEY NY,4332.634,43.31896,-73.844289,73001752,4288.34109580398,0.388026780856612,44.29290419601966,True,1.0,0.010223089279182055,1.0,1.0
01321000,SACANDAGA RIVER NEAR HOPE NY,1263.694,43.352847,-74.270415,73001939,1352.9655316777064,87.53646984947115,89.27153167770643,True,1.0,0.07064331371178975,1.0,1.0
01325000,SACANDAGA RIVER AT STEWARTS BRIDGE NR HADLEY NY,2776.659,43.31146,-73.867346,73001864,2719.790708024198,71.71737637734155,56.868291975802094,True,1.0,0.020480833971979306,1.0,1.0
01327750,HUDSON RIVER AT FORT EDWARD NY,7334.232,43.269517,-73.595949,73001748,7266.069047308246,160.04470483621392,68.16295269175407,True,1.0,0.009293809180259648,1.0,1.0
01331095,HUDSON RIVER AT STILLWATER NY,9784.651,42.935632,-73.651784,73001737,9733.602885420389,227.1616845492221,51.04811457961114,True,1.0,0.005217162531357648,1.0,1.0
01332500,"HOOSIC RIVER NEAR WILLIAMSTOWN, MA",328.3083,42.700359,-73.158994,73002068,342.1102860652092,39.11160979626794,13.801986065209237,True,0.6471128103112178,0.0420397110435808,1.0,1.0
01333000,"GREEN RIVER AT WILLIAMSTOWN, MA",112.1643,42.708969,-73.196773,73002274,114.79782727483176,33.28943284198978,2.6335272748317777,True,0.9208899927093392,0.023479193244479554,1.0,1.0
01335754,HUDSON R ABOVE LOCK 1 NR WATERFORD NY,11970.2,42.829244,-73.666229,73001734,11834.80855421556,3.116212929029964,135.3914457844421,True,1.0,0.011310708742079673,1.0,1.0
